commune_code,commune_name,gender,party_code,list_name,votes,elected,P22_POP,MED21,TP6021,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed,city,year,tour,last_name,first_name,P16_POP
13055SR01,Marseille Secteur 1,M,LUG,"Un nouveau cap ï¿½ Gauche - Socialistes, Front de Gauche, ï¿½cologistes et sociï¿½tï¿½ civile marseillaise avec Patrick MENNUCCI",10175,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,MENNUCCI,Patrick,862211.0
13055SR01,Marseille Secteur 1,M,LUD,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,11279,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,TIAN,Dominique,862211.0
13055SR01,Marseille Secteur 1,M,LFN,MARSEILLE BLEU MARINE (1er Secteur),3670,False,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,DEMEESTER,Dominique,862211.0
13055SR02,Marseille Secteur 2,M,LUG,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,4937,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,CASELLI,Eugï¿½ne,862211.0
13055SR02,Marseille Secteur 2,F,LUD,Marseille en avant avec Jean-Claude Gaudin,7215,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,BIAGGI,Solange,862211.0
13055SR02,Marseille Secteur 2,F,LFN,MARSEILLE BLEU MARINE,2974,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,MARTI,Jeanne,862211.0
13055SR03,Marseille Secteur 3,F,LUG,CAP A GAUCHE AVEC MARIE-ARLETTE CARLOTTI,10328,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,CARLOTTI,Marie-Arlette,862211.0
13055SR03,Marseille Secteur 3,M,LUD,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,14773,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,GILLES,Bruno,862211.0
13055SR03,Marseille Secteur 3,M,LFN,MARSEILLE BLEU MARINE,5834,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,BAUMANN,Jean-Pierre,862211.0
13055SR05,Marseille Secteur 5,M,LUG,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,9860,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,ZERIBI,Karim,862211.0
13055SR05,Marseille Secteur 5,M,LUD,MARSEILLE EN AVANT AVEC JEAN CLAUDE GAUDIN,22851,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,TEISSIER,Guy,862211.0
13055SR05,Marseille Secteur 5,M,LFN,MARSEILLE BLEU MARINE,11704,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,COMAS,Laurent,862211.0
13055SR06,Marseille Secteur 6,M,LUG,Un nouveau cap pour les marseillais avec Patrick MENNUCCI,10287,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,MASSE,Christophe,862211.0
13055SR06,Marseille Secteur 6,M,LUD,Marseille en avant avec Jean-Claude GAUDIN,20559,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,BLUM,Roland,862211.0
13055SR06,Marseille Secteur 6,F,LFN,MARSEILLE BLEU MARINE,13189,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,PHILIPPE,Elisabeth,862211.0
13055SR07,Marseille Secteur 7,M,LUG,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,14696,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,HOVSEPIAN,Garo,862211.0
13055SR07,Marseille Secteur 7,M,LUD,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,14529,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,MIRON,Richard,862211.0
13055SR07,Marseille Secteur 7,M,LFN,MARSEILLE BLEU MARINE,15971,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,RAVIER,Stï¿½phane,862211.0
13055SR08,Marseille Secteur 8,F,LUG,UN NOUVEAU CAP POUR LES MARSEILLAIS,10716,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,GHALI,Samia,862211.0
13055SR08,Marseille Secteur 8,F,LUD,Marseille en Avant avec Jean-Claude GAUDIN,5607,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,FRUCTUS,Arlette,862211.0
13055SR08,Marseille Secteur 8,M,LFN,MARSEILLE BLEU MARINE,7206,True,,,,52.58,47.42,18.4,19.4,19.38,18.69,14.56,9.57,19.16,16.4,31.45,18.32,Marseille,2014,2,MARANDAT,Bernard,862211.0
69123SR01,Lyon 1er secteur,F,LFG,Lyon Citoyenne & Solidaire Premier Arrondissement,4181,True,,,,53.11,46.89,15.38,29.01,21.29,15.4,11.34,7.59,13.53,14.64,52.28,13.61,Lyon,2014,2,PERRIN-GILBERT,Nathalie,515695.0
