commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
01004,Ambï¿½rieu-en-Bugey,EXPOSITO,Josiane,F,LDVG,AMBERIEU AMBITION,949,True,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01004,Ambï¿½rieu-en-Bugey,PIDOUX,Catherine,F,LDVG,VIVONS NOTRE VILLE,741,True,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01004,Ambï¿½rieu-en-Bugey,FABRE,Daniel,M,LDVD,PAROLE  AUX AMBARROIS,2678,True,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01007,Ambronay,LEVRAT,Gisï¿½le,F,LDVG,AMBRONAY POUR TOUS,610,True,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01007,Ambronay,FOURNIER,Gabriel,M,LDVD,AMBRONAY Demain,153,True,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01007,Ambronay,MANCUSO,Vincent,M,LDVD,AGIR ENSEMBLE POUR L'AVENIR D'AMBRONAY,541,True,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01034,Belley,FOGNINI,Jean-Marc,M,LSOC,CONTINUONS BELLEY ENSEMBLE,1936,True,9133.0,52.92,47.08,18.69,16.38,17.21,19.4,15.58,12.73,26.88,16.37,22.3,16.51
01034,Belley,JIMENEZ,Christian,M,LDVD,BELLEY NOUVEL HORIZON 2014,2029,True,9133.0,52.92,47.08,18.69,16.38,17.21,19.4,15.58,12.73,26.88,16.37,22.3,16.51
01160,Ferney-Voltaire,MEYLAN,Franï¿½ois,M,LDVG,FERNEY AVENIR 2014,1056,True,9637.0,51.58,48.42,19.72,17.56,25.84,19.4,12.27,5.2,13.48,15.34,52.29,13.56
01160,Ferney-Voltaire,RAPHOZ,Daniel,M,LDVD,FERNEY-VOLTAIRE VALEURS COMMUNES,1075,True,9637.0,51.58,48.42,19.72,17.56,25.84,19.4,12.27,5.2,13.48,15.34,52.29,13.56
01185,Hauteville-Lompnes,JOLY,Fabienne,F,LDVG,VALORISONS ENSEMBLE NOS RICHESSES,515,True,4845.0,50.88,49.12,13.99,15.21,15.06,20.79,19.87,15.09,27.78,17.37,23.39,8.16
01185,Hauteville-Lompnes,ARGENTI,Bernard,M,LUDI,OSONS L'AVENIR,815,True,4845.0,50.88,49.12,13.99,15.21,15.06,20.79,19.87,15.09,27.78,17.37,23.39,8.16
01194,Jassans-Riottier,REVERCHON,Jean-Pierre,M,LDIV,UN SOUFFLE NOUVEAU POUR JASSANS,1538,True,6391.0,52.18,47.82,19.04,16.15,17.88,20.96,16.26,9.71,26.74,17.28,22.51,11.41
01194,Jassans-Riottier,FOURNET,Jacqueline,F,LDVD,Agissons ensemble pour demain,1171,True,6391.0,52.18,47.82,19.04,16.15,17.88,20.96,16.26,9.71,26.74,17.28,22.51,11.41
01249,Miribel,GIRON,Andrï¿½,M,LDVG,L'EVEIL DE MIRIBEL,231,False,9742.0,51.11,48.89,20.48,17.81,20.06,20.77,12.88,8.01,23.73,15.29,31.9,10.29
01249,Miribel,VIRICEL,Sylvie,F,LDVG,MIRIBEL COMME VOUS L'AIMEZ,1771,True,9742.0,51.11,48.89,20.48,17.81,20.06,20.77,12.88,8.01,23.73,15.29,31.9,10.29
01249,Miribel,GAITET,Jean-Pierre,M,LDVD,UN RENOUVEAU POUR MIRIBEL,1679,True,9742.0,51.11,48.89,20.48,17.81,20.06,20.77,12.88,8.01,23.73,15.29,31.9,10.29
01262,Montluel,BERNARD,Jacky,M,LSOC,"Osons Montluel, ville d'avenir",1210,True,7005.0,51.75,48.25,21.04,18.38,21.19,18.77,12.44,8.18,25.54,17.15,24.33,13.35
01262,Montluel,DAUBIE,Romain,M,LDVD,VIVONS MONTLUEL ENSEMBLE,1577,True,7005.0,51.75,48.25,21.04,18.38,21.19,18.77,12.44,8.18,25.54,17.15,24.33,13.35
