commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
29059,Garlan,IRRIEN,Joseph,M,LDIV,ensemble pour garlan,414,True,1056.0,50.48,49.52,24.99,12.16,25.58,17.76,12.07,7.43,27.05,20.39,31.35,9.39
29060,Gouesnach,GICQUEL,Gildas,M,LDVD,gouesnac'h : s'investir pour l'avenir,867,True,2761.0,50.78,49.22,19.08,12.5,19.55,21.85,18.52,8.5,27.07,21.2,33.28,9.62
29060,Gouesnach,SIMON,Michel,M,LDVD,BIEN VIVRE A GOUESNAC'H,719,True,2761.0,50.78,49.22,19.08,12.5,19.55,21.85,18.52,8.5,27.07,21.2,33.28,9.62
29061,Gouesnou,JAFFREDOU,Dominique,M,LUG,AGIS POUR GOUESNOU,1226,True,6092.0,51.23,48.77,18.07,15.51,16.74,24.11,16.84,8.72,27.86,18.27,34.77,9.58
29061,Gouesnou,ROUDAUT,Stï¿½phane,M,LDVD,gouesnou pour vous,2161,True,6092.0,51.23,48.77,18.07,15.51,16.74,24.11,16.84,8.72,27.86,18.27,34.77,9.58
29062,Gouï¿½zec,NAY,Cï¿½cile,F,LDVD,AGIR POUR GOUï¿½ZEC,414,True,1100.0,48.73,51.27,18.36,13.91,21.36,20.82,15.91,9.64,31.15,19.93,26.73,10.97
29066,Guengat,HÏ¿½MON,Gilbert,M,LDVG,TOUS UNIS POUR NOTRE AVENIR,411,True,1759.0,49.66,50.34,20.62,11.89,21.15,19.66,19.89,6.79,30.63,19.84,27.32,9.08
29066,Guengat,STANQUIC,Jean-Yves,M,LDIV,AGIR ENSEMBLE POUR GUENGAT,538,True,1759.0,49.66,50.34,20.62,11.89,21.15,19.66,19.89,6.79,30.63,19.84,27.32,9.08
29067,Guerlesquin,UGUEN,Paul,M,LUG,tous pour guerlesquin,228,False,1343.0,51.53,48.47,16.63,10.82,16.59,21.33,17.7,16.93,29.05,13.34,14.06,12.77
29067,Guerlesquin,JAOUEN,Martine,F,LDIV,guerlesquin une nouvelle dynamique,218,False,1343.0,51.53,48.47,16.63,10.82,16.59,21.33,17.7,16.93,29.05,13.34,14.06,12.77
29067,Guerlesquin,JUIFF,Gildas,M,LDVD,ensemble construisons l'avenir de guerlesquin,377,False,1343.0,51.53,48.47,16.63,10.82,16.59,21.33,17.7,16.93,29.05,13.34,14.06,12.77
29068,Guiclan,MEUDEC,Jacques,M,LDVG,"guiclan autrement, pour vous, avec vous",545,False,2487.0,49.61,50.39,23.74,13.71,22.74,18.07,14.24,7.5,32.76,20.3,27.94,10.06
29068,Guiclan,JONCOUR,Jocelyn,M,LDIV,"pour guiclan, osez, changez",186,False,2487.0,49.61,50.39,23.74,13.71,22.74,18.07,14.24,7.5,32.76,20.3,27.94,10.06
